Date:20151027, table:MarketData_510050_sh, MaxRecordDate:20151026, Wind:2583
Date:20151028, table:MarketData_510050_sh, MaxRecordDate:20151027, Wind:2602
Date:20151029, table:MarketData_510050_sh, MaxRecordDate:20151028, Wind:2597
Date:20151030, table:MarketData_510050_sh, MaxRecordDate:20151029, Wind:2427
Date:20151102, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2611
Date:20151103, table:MarketData_510050_sh, MaxRecordDate:20151102, Wind:2304
Date:20151104, table:MarketData_510050_sh, MaxRecordDate:20151103, Wind:2167
Date:20151105, table:MarketData_510050_sh, MaxRecordDate:20151104, Wind:2962
Date:20151106, table:MarketData_510050_sh, MaxRecordDate:20151105, Wind:2684
Date:20151109, table:MarketData_510050_sh, MaxRecordDate:20151106, Wind:2818
Date:20151110, table:MarketData_510050_sh, MaxRecordDate:20151109, Wind:2629
Date:20151111, table:MarketData_510050_sh, MaxRecordDate:20151110, Wind:2470
Date:20151112, table:MarketData_510050_sh, MaxRecordDate:20151111, Wind:2104
Date:20151113, table:MarketData_510050_sh, MaxRecordDate:20151112, Wind:2400
Date:20151116, table:MarketData_510050_sh, MaxRecordDate:20151113, Wind:2643
Date:20151117, table:MarketData_510050_sh, MaxRecordDate:20151116, Wind:1980
Date:20151118, table:MarketData_510050_sh, MaxRecordDate:20151117, Wind:2336
Date:20151119, table:MarketData_510050_sh, MaxRecordDate:20151118, Wind:2294
Date:20151120, table:MarketData_510050_sh, MaxRecordDate:20151119, Wind:2346
Date:20151123, table:MarketData_510050_sh, MaxRecordDate:20151120, Wind:2688
Date:20151124, table:MarketData_510050_sh, MaxRecordDate:20151123, Wind:2504
Date:20151125, table:MarketData_510050_sh, MaxRecordDate:20151124, Wind:2679
Date:20151126, table:MarketData_510050_sh, MaxRecordDate:20151125, Wind:2910
Date:20151127, table:MarketData_510050_sh, MaxRecordDate:20151126, Wind:2000
Date:20151130, table:MarketData_510050_sh, MaxRecordDate:20151127, Wind:2587
Date:20151201, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2519
Date:20151202, table:MarketData_510050_sh, MaxRecordDate:20151201, Wind:2525
Date:20151203, table:MarketData_510050_sh, MaxRecordDate:20151202, Wind:2471
Date:20151204, table:MarketData_510050_sh, MaxRecordDate:20151203, Wind:2652
Date:20151207, table:MarketData_510050_sh, MaxRecordDate:20151204, Wind:2871
Date:20151208, table:MarketData_510050_sh, MaxRecordDate:20151207, Wind:2551
Date:20151209, table:MarketData_510050_sh, MaxRecordDate:20151208, Wind:2180
Date:20151210, table:MarketData_510050_sh, MaxRecordDate:20151209, Wind:2743
Date:20151211, table:MarketData_510050_sh, MaxRecordDate:20151210, Wind:2411
Date:20151214, table:MarketData_510050_sh, MaxRecordDate:20151211, Wind:2358
Date:20151215, table:MarketData_510050_sh, MaxRecordDate:20151214, Wind:2345
Date:20151216, table:MarketData_510050_sh, MaxRecordDate:20151215, Wind:2360
Date:20151217, table:MarketData_510050_sh, MaxRecordDate:20151216, Wind:2589
Date:20151218, table:MarketData_510050_sh, MaxRecordDate:20151217, Wind:2381
Date:20151221, table:MarketData_510050_sh, MaxRecordDate:20151218, Wind:2578
Date:20151222, table:MarketData_510050_sh, MaxRecordDate:20151221, Wind:2532
Date:20151223, table:MarketData_510050_sh, MaxRecordDate:20151222, Wind:2921
Date:20151224, table:MarketData_510050_sh, MaxRecordDate:20151223, Wind:2909
Date:20151225, table:MarketData_510050_sh, MaxRecordDate:20151224, Wind:2547
Date:20151228, table:MarketData_510050_sh, MaxRecordDate:20151225, Wind:2702
Date:20151229, table:MarketData_510050_sh, MaxRecordDate:20151228, Wind:2460
Date:20151230, table:MarketData_510050_sh, MaxRecordDate:20151229, Wind:2759
Date:20151231, table:MarketData_510050_sh, MaxRecordDate:20151230, Wind:2895
Date:20160104, table:MarketData_510050_sh, MaxRecordDate:0, Wind:593
Date:20160105, table:MarketData_510050_sh, MaxRecordDate:20160104, Wind:974
Date:20160106, table:MarketData_510050_sh, MaxRecordDate:20160105, Wind:2909
Date:20160107, table:MarketData_510050_sh, MaxRecordDate:20160106, Wind:231
Date:20160108, table:MarketData_510050_sh, MaxRecordDate:20160107, Wind:2764
Date:20160111, table:MarketData_510050_sh, MaxRecordDate:20160108, Wind:2658
Date:20160112, table:MarketData_510050_sh, MaxRecordDate:20160111, Wind:2697
Date:20160113, table:MarketData_510050_sh, MaxRecordDate:20160112, Wind:2633
Date:20160114, table:MarketData_510050_sh, MaxRecordDate:20160113, Wind:2671
Date:20160115, table:MarketData_510050_sh, MaxRecordDate:20160114, Wind:2707
Date:20160118, table:MarketData_510050_sh, MaxRecordDate:20160115, Wind:2705
Date:20160119, table:MarketData_510050_sh, MaxRecordDate:20160118, Wind:2710
Date:20160120, table:MarketData_510050_sh, MaxRecordDate:20160119, Wind:2694
Date:20160121, table:MarketData_510050_sh, MaxRecordDate:20160120, Wind:2677
Date:20160122, table:MarketData_510050_sh, MaxRecordDate:20160121, Wind:2655
Date:20160125, table:MarketData_510050_sh, MaxRecordDate:20160122, Wind:2863
Date:20160126, table:MarketData_510050_sh, MaxRecordDate:20160125, Wind:2580
Date:20160127, table:MarketData_510050_sh, MaxRecordDate:20160126, Wind:2956
Date:20160128, table:MarketData_510050_sh, MaxRecordDate:20160127, Wind:2880
Date:20160129, table:MarketData_510050_sh, MaxRecordDate:20160128, Wind:2737
Date:20160201, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2876
Date:20160202, table:MarketData_510050_sh, MaxRecordDate:20160201, Wind:2676
Date:20160203, table:MarketData_510050_sh, MaxRecordDate:20160202, Wind:2629
Date:20160204, table:MarketData_510050_sh, MaxRecordDate:20160203, Wind:2647
Date:20160205, table:MarketData_510050_sh, MaxRecordDate:20160204, Wind:4302
Date:20160215, table:MarketData_510050_sh, MaxRecordDate:20160205, Wind:2571
Date:20160216, table:MarketData_510050_sh, MaxRecordDate:20160215, Wind:2618
Date:20160217, table:MarketData_510050_sh, MaxRecordDate:20160216, Wind:2522
Date:20160218, table:MarketData_510050_sh, MaxRecordDate:20160217, Wind:2613
Date:20160219, table:MarketData_510050_sh, MaxRecordDate:20160218, Wind:2557
Date:20160222, table:MarketData_510050_sh, MaxRecordDate:20160219, Wind:2609
Date:20160223, table:MarketData_510050_sh, MaxRecordDate:20160222, Wind:2636
Date:20160224, table:MarketData_510050_sh, MaxRecordDate:20160223, Wind:2799
Date:20160225, table:MarketData_510050_sh, MaxRecordDate:20160224, Wind:2621
Date:20160226, table:MarketData_510050_sh, MaxRecordDate:20160225, Wind:2658
Date:20160229, table:MarketData_510050_sh, MaxRecordDate:20160226, Wind:2899
Date:20160301, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2657
Date:20160302, table:MarketData_510050_sh, MaxRecordDate:20160301, Wind:2685
Date:20160303, table:MarketData_510050_sh, MaxRecordDate:20160302, Wind:2621
Date:20160304, table:MarketData_510050_sh, MaxRecordDate:20160303, Wind:2618
Date:20160307, table:MarketData_510050_sh, MaxRecordDate:20160304, Wind:2898
Date:20160308, table:MarketData_510050_sh, MaxRecordDate:20160307, Wind:2640
Date:20160309, table:MarketData_510050_sh, MaxRecordDate:20160308, Wind:2598
Date:20160310, table:MarketData_510050_sh, MaxRecordDate:20160309, Wind:2635
Date:20160311, table:MarketData_510050_sh, MaxRecordDate:20160310, Wind:2739
Date:20160314, table:MarketData_510050_sh, MaxRecordDate:20160311, Wind:2692
Date:20160315, table:MarketData_510050_sh, MaxRecordDate:20160314, Wind:2656
Date:20160316, table:MarketData_510050_sh, MaxRecordDate:20160315, Wind:2666
Date:20160317, table:MarketData_510050_sh, MaxRecordDate:20160316, Wind:2920
Date:20160318, table:MarketData_510050_sh, MaxRecordDate:20160317, Wind:2660
Date:20160321, table:MarketData_510050_sh, MaxRecordDate:20160318, Wind:2691
Date:20160322, table:MarketData_510050_sh, MaxRecordDate:20160321, Wind:2657
Date:20160323, table:MarketData_510050_sh, MaxRecordDate:20160322, Wind:2934
